description,price,size_m2,bedrooms,bathrooms,parking_spaces
PARK SUL,1.900.000,120,3,4,2
Jardim Botânico,1.900.000,695,3,5,4
Asa Norte,2.100.000,"168,39",4,4,2
Ponte Alta Norte (Gama),2.900.000,100,-,-,-
Sudoeste,3.100.000,"172,48",4,6,3
"Asa Norte, CLN 308 BLOCO E",250.000,"21,61",1,1,-
"Lago Norte, CA 5 (Centro de Atividades)",280.000,"37,03",-,1,-
"Lago Norte, CA 5 (Centro de Atividades)",310.000,"41,93",-,1,-
PARK SUL,1.670.000,159,3,2,2
"Asa Norte, SHLN BLOCO I",50.000,"10,8",-,-,1
"Jardim Botânico, Condomínio Condomínio Santa Bárbara",407.000,401,-,-,-
PARK SUL,889.000,55,1,1,1
Noroeste,1.179.000,"68,35",2,3,1
"Asa Sul, SGAS 915",33.000,12,-,-,8
"Lago Norte, CA 01",220.000,"26,29",-,-,-
"Park Way, SMPW QUADRA 15",1.400.000,2.125,-,-,-
Park Way,1.250.000,1.000,-,-,-
"Jardim Botânico, Condomínio Jardim Botânico VI, 0",1.200.000,361,4,4,2
Asa Norte,200.000,"28,09",-,1,-
Asa Norte,460.000,140,2,2,-
PARK SUL,2.971.146,"205,25",4,5,4
PARK SUL,3.064.919,"202,67",4,5,4
PARK SUL,3.094.682,"205,25",4,5,4
PARK SUL,3.197.080,"205,58",4,5,4
PARK SUL,3.358.419,"248,58",4,5,4
Noroeste,5.512.492,"395,91",4,5,5
PARK SUL,5.854.882,"545,68",4,6,5
"Asa Sul, SDS Bloco O",200.000,40,-,1,-
"Park Way, SMPW QUADRA 17",1.200.000,2.500,-,-,-
Altiplano Leste,1.295.000,20.600,-,-,-
"Asa Sul, SRTVS",180.000,31,-,1,-
